discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
69,15.99,Drawstring Raglan Sleeve Zip Pockets Hoodie,50.8,3252799,"Clothes Type:Hoodie;Occasion:Daily Use;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Others;Season:Fall;Weight:0.5400kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/drawstring-raglan-sleeve-zip-pockets-product3252799.html,8
0,0.0,Lion Art Paint Graphic Front Pocket Casual Hoodie,26.99,8270110,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.5400kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/lion-art-paint-graphic-front-product8270110.html,0
0,0.0,Pintuck Detail Raglan Sleeve Hoodie,22.99,8380908,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Solid;Season:Fall,Spring;Weight:0.3550kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/pintuck-detail-raglan-sleeve-hoodie-product8380908.html,0
0,0.0,Pullover Zip Design Fleece Hoodie,22.99,8370312,"Clothes Type:Hoodie;Occasion:Daily,Sports;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Fabric Stretch:Slight Stretch;Thickness:Thick;Patterns:Solid;Season:Winter;Weight:0.4800kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/pullover-zip-design-fleece-hoodie-product8370312.html,0
0,0.0,Diamond Geometric Letter Print Hoodie,22.99,8349086,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Geometric,Letter;Season:Fall,Spring,Winter;Weight:0.4800kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/diamond-geometric-letter-print-hoodie-product8349086.html,0
0,0.0,Long Sleeve Rivet Pullover Hoodie,41.99,8163394,Clothes Type:Hoodie;Occasion:Daily;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Solid;Season:Fall;Weight:0.8010kg;Package Contents:1 x Hoodie;,https://www.dresslily.com/long-sleeve-rivet-pullover-hoodie-product8163394.html,0
0,0.0,Front Pocket Geometric 3D Print Hoodie,26.99,8378465,"Clothes Type:Hoodie;Occasion:Daily;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Geometric;Season:Fall,Spring;Weight:0.4800kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/front-pocket-geometric-3d-print-product8378465.html,0
39,25.49,Colorful Great Wave Pattern Front Pocket Casual Hoodie,41.83,8339446,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5500kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/colorful-great-wave-pattern-front-product8339446.html,0
39,23.99,Halloween Butterfly Skull Graphic Front Pocket Drawstring Hoodie,39.14,8321793,"Clothes Type:Hoodie;Occasion:Halloween;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Butterfly,Floral,Skull;Season:Fall,Spring;Weight:0.4900kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/halloween-butterfly-skull-graphic-front-product8321793.html,1
47,20.99,Contrast Fire Character Print Kangaroo Pocket Hoodie,39.41,8362974,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Others;Season:Fall,Spring,Winter;Weight:0.5500kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/contrast-fire-character-print-kangaroo-product8362974.html,0
